colorfulness,minEnergy,lightning,globalActivity,nbWhiteFrames,nbSceneCuts,cutLength,flatness_env,wtf_max2stdratio_1,wtf_max2stdratio_2,wtf_max2stdratio_3,wtf_max2stdratio_4,wtf_max2stdratio_5,wtf_max2stdratio_6,wtf_max2stdratio_7,wtf_max2stdratio_8,wtf_max2stdratio_9,wtf_max2stdratio_10,wtf_max2stdratio_11,wtf_max2stdratio_12,medianLightness,slope,alpha,hueCount,maxSaliencyCount,compositionalBalance,depthOfField,saliencyDisparity,spatialEdgeDistributionArea,entropyComplexity,nbWhiteFrames,nbFades,nbSceneCuts,asymmetry_env,flatness,zcr,colorStrength,colorRawEnergy
47.939117,0.540554,1.057049,0.100531,0,1,117,0.005686,5.41E+00,5.48E+00,5.03E+00,4.57E+00,4.00E+00,3.27E+00,2.37E+00,1.69E+00,1.46E+00,1.42E+00,1.41E+00,4.32E+15,0.431373,1.414934,5,100,0.002094,4.59312,110.988586,0.015579,0.842532,12.011075,0,0,1,19.727504,0.000287,0.319205,0.113005,162.118626
52.748894,0.798568,0.464044,0.062712,0,1,153,0,5.42E+00,5.51E+00,5.30E+00,4.95E+00,4.32E+00,3.76E+00,2.91E+00,2.03E+00,1.57E+00,1.43E+00,1.41E+00,3.53E+15,0.219608,1.354866,41,45,0.004708,1.085655,125.017303,0.022905,0.860802,12.795528,0,0,1,57.945141,0,0.194707,0.072096,11.467636
60.224403,0.833286,0.294487,0.322534,0,3,52,0,5.18E+00,5.14E+00,4.81E+00,4.53E+00,4.13E+00,3.31E+00,2.77E+00,2.19E+00,1.54E+00,1.42E+00,1.41E+00,2.42E+15,0.4,1.312889,50,44,0.005028,0.669111,113.94838,0.030379,0.931222,18.025742,0,0,3,64.968688,0,0.105172,0.125031,10.373964
82.669434,1.017838,0.447583,0.70555,0,1,52,0,5.14E+00,5.15E+00,4.83E+00,4.37E+00,3.86E+00,3.20E+00,2.74E+00,2.39E+00,1.74E+00,1.44E+00,1.41E+00,2.09E+15,0.521569,1.334575,43,40,0.023213,1.082695,76.944817,0.252079,0.877269,10.104119,0,2,1,73.747041,0,0.067364,0.109738,11.066415
64.427177,0.670391,0.059518,0.127405,0,1,117,0,5.09E+00,5.10E+00,4.75E+00,4.28E+00,3.74E+00,3.15E+00,2.82E+00,2.38E+00,1.68E+00,1.43E+00,1.41E+00,1.97E+15,0.47451,1.390362,38,58,0.01336,1.425273,115.271156,0.185855,0.844174,12.164057,0,0,1,77.877285,0,0.065708,0.094776,14.940337
59.896679,0.852062,0.148373,0.106458,0,1,152,0,5.14E+00,5.12E+00,4.87E+00,4.45E+00,3.98E+00,3.40E+00,2.88E+00,2.30E+00,1.63E+00,1.43E+00,1.41E+00,2.19E+15,0.470588,1.436904,31,32,0.006994,0.177729,86.510483,0.028485,0.914522,12.127919,0,0,1,61.201109,0,0.108945,0.11474,7.500135
44.781807,0.956567,1.401878,0.068769,0,1,141,0,5.20E+00,5.23E+00,4.92E+00,4.39E+00,3.84E+00,3.36E+00,2.89E+00,2.35E+00,1.63E+00,1.42E+00,1.41E+00,2.04E+15,0.32549,1.3699,48,42,0.00497,0.592347,86.215561,0.023059,0.904306,9.870523,0,0,1,67.58923,0,0.091433,0.087971,109.238624
56.581673,0.94564,0.071817,0.195562,0,3,63,0.036094,5.10E+00,5.07E+00,4.75E+00,4.37E+00,3.90E+00,3.23E+00,2.75E+00,2.31E+00,1.59E+00,1.43E+00,1.41E+00,2.62E+15,0.431373,1.387032,42,29,0.007887,2.069178,127.74588,0.178086,0.896113,15.653535,0,0,3,61.027498,0.000364,0.093928,0.112976,9.879506
66.858261,0.661873,0.155335,0.584721,0,0,0,0,5.08E+00,5.04E+00,4.63E+00,4.16E+00,3.55E+00,3.10E+00,2.79E+00,2.39E+00,1.68E+00,1.43E+00,1.41E+00,2.15E+15,0.309804,1.367238,39,60,0.002402,2.664612,100.417007,0.121883,0.859941,11.680778,0,0,0,71.461362,0,0.061531,0.104077,16.947863
57.232445,0.767595,0.204125,0.122521,0,0,0,0,5.19E+00,5.23E+00,4.96E+00,4.49E+00,3.96E+00,3.37E+00,2.84E+00,2.26E+00,1.60E+00,1.43E+00,1.41E+00,2.41E+15,0.454902,1.404063,32,28,0.034516,0.272447,63.034794,0.115986,0.900988,11.770524,0,0,0,72.009686,0,0.10164,0.122084,6.841038
55.741066,0.795588,0.050054,0.123999,0,0,0,0,5.23E+00,5.25E+00,4.98E+00,4.53E+00,4.02E+00,3.45E+00,2.87E+00,2.25E+00,1.59E+00,1.42E+00,1.41E+00,2.97E+15,0.435294,1.388866,32,31,0.014811,0.276807,64.51712,0.086449,0.895781,11.943383,0,0,0,63.29082,0,0.128786,0.118541,7.704403
57.119896,0.708474,0.100348,0.223572,0,5,37.799999,0,5.18E+00,5.15E+00,4.79E+00,4.40E+00,3.95E+00,3.38E+00,2.78E+00,2.19E+00,1.58E+00,1.43E+00,1.41E+00,1.96E+15,0.92549,1.319593,41,53,0.001218,1.701322,212.414261,0.015183,0.941805,8.258511,0,0,5,113.014642,0,0.086313,0.071569,19.581127
53.472397,0.960417,0.705898,0.22468,0,1,39,0,5.35E+00,5.51E+00,5.23E+00,4.76E+00,4.23E+00,3.67E+00,2.84E+00,2.02E+00,1.56E+00,1.43E+00,1.41E+00,3.19E+15,0.184314,1.367773,40,38,0.004052,2.113045,112.667686,0.030986,0.904597,13.048941,0,0,1,60.882816,0,0.199696,0.065623,10.247111
82.004982,0.852046,0.153797,0.25842,0,3,46.666668,0,5.16E+00,5.18E+00,4.83E+00,4.29E+00,3.72E+00,3.17E+00,2.77E+00,2.35E+00,1.64E+00,1.43E+00,1.41E+00,1.86E+15,0.462745,1.428087,41,41,0.00143,0.411173,55.722038,0.099463,0.891655,11.67606,0,0,3,100.12239,0,0.056817,0.138406,10.503655
